"","county","total_cases","total_cases_perc","total_deaths","total_deaths_perc","population","lon","lat","group"
"1","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.204246520996,44.306827545166,1
"2","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.490730285645,44.306827545166,1
"3","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.490730285645,44.3870391845703,1
"4","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.536560058594,44.4214210510254,1
"5","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.570945739746,44.4214210510254,1
"6","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.599586486816,44.438606262207,1
"7","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.977737426758,44.438606262207,1
"8","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.983474731445,44.4271469116211,1
"9","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.012115478516,44.4328765869141,1
"10","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.161087036133,44.2781791687012,1
"11","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.201194763184,44.2609901428223,1
"12","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.229835510254,44.2609901428223,1
"13","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.378807067871,44.2609901428223,1
"14","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.481941223145,44.2552604675293,1
"15","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.49340057373,44.2781791687012,1
"16","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.436111450195,44.3698501586914,1
"17","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.40746307373,44.3755836486816,1
"18","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.441833496094,44.4099578857422,1
"19","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.418922424316,44.438606262207,1
"20","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.424644470215,44.4615249633789,1
"21","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.378807067871,44.4615249633789,1
"22","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.373077392578,44.4844436645508,1
"23","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.373077392578,44.5302772521973,1
"24","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.344436645508,44.5646591186523,1
"25","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.321510314941,44.570384979248,1
"26","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.310050964355,44.5990333557129,1
"27","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.36735534668,44.6563301086426,1
"28","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.40746307373,44.6448707580566,1
"29","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.499137878418,44.6620597839355,1
"30","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.510581970215,44.7193565368652,1
"31","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.459030151367,44.7136268615723,1
"32","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.361618041992,44.7537307739258,1
"33","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.327247619629,44.7422752380371,1
"34","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.281402587891,44.7480049133301,1
"35","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.292869567871,44.8053016662598,1
"36","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.315788269043,44.8396759033203,1
"37","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.281402587891,44.8568649291992,1
"38","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.235572814941,44.8740577697754,1
"39","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.235572814941,44.89697265625,1
"40","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.224113464355,44.9370803833008,1
"41","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.247032165527,44.9542694091797,1
"42","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.24129486084,44.9886474609375,1
"43","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.206932067871,45.0115661621094,1
"44","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.143898010254,45.0516700744629,1
"45","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.098052978516,45.0516700744629,1
"46","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-118.017845153809,45.0058326721191,1
"47","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.95482635498,45.0115661621094,1
"48","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.903259277344,45.040210723877,1
"49","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.874610900879,45.0860481262207,1
"50","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.771476745605,45.0058326721191,1
"51","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.559478759766,45.0001029968262,1
"52","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.553756713867,45.0860481262207,1
"53","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-117.255813598633,45.0917778015137,1
"54","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.774528503418,45.0860481262207,1
"55","Baker",3231,0.200384519970231,48,0.00297692880178616,16124,-116.791709899902,45.0688591003418,1
