"","state","val"
"1","California","12,169,158"
"2","Texas","8,447,168"
"3","Vermont","153,198"
"4","District Of Columbia","178,226"
"5","Rhode Island","43.59"
"6","Alaska","42.22"
"7","Maryland","22.66"
"8","Oregon","22.93"
"9","California","12,169,158"
"10","Texas","8,447,168"
"11","Vermont","153,198"
"12","District Of Columbia","178,226"
"13","Arizona","33.67"
"14","West Virginia","36.03"
"15","Hawaii","26.3"
"16","Vermont","24.55"
