"","date","county","population","cases","cases_per_pop","deaths","deaths_per_pop"
"78",2020-03-15,"Multnomah",812855,1,1.23023171414336e-06,1,1.23023171414336e-06
"79",2020-03-15,"Polk",86085,1,1.16164256258349e-05,0,0
"80",2020-03-15,"Umatilla",77950,2,2.56574727389352e-05,0,0
"81",2020-03-15,"Washington",601592,13,2.1609329911302e-05,0,0
"82",2020-03-15,"Yamhill",107100,1,9.33706816059757e-06,0,0
"83",2020-03-16,"Benton",93053,1,1.07465637862294e-05,0,0
"84",2020-03-16,"Clackamas",418187,2,4.78254943362658e-06,0,0
"85",2020-03-16,"Deschutes",197692,6,3.03502417902596e-05,0,0
"86",2020-03-16,"Douglas",110980,1,9.01063254640476e-06,0,0
"87",2020-03-16,"Jackson",220944,2,9.05206749221522e-06,0,0
"88",2020-03-16,"Klamath",68238,1,1.46545912834491e-05,0,0
"89",2020-03-16,"Linn",129749,10,7.70718849470902e-05,0,0
"90",2020-03-16,"Marion",347818,3,8.62520053591246e-06,0,0
"91",2020-03-16,"Multnomah",812855,2,2.46046342828672e-06,1,1.23023171414336e-06
"92",2020-03-16,"Polk",86085,1,1.16164256258349e-05,0,0
"93",2020-03-16,"Umatilla",77950,2,2.56574727389352e-05,0,0
"94",2020-03-16,"Washington",601592,14,2.32715860583252e-05,0,0
"95",2020-03-16,"Yamhill",107100,1,9.33706816059757e-06,0,0
"96",2020-03-17,"Benton",93053,1,1.07465637862294e-05,0,0
"97",2020-03-17,"Clackamas",418187,6,1.43476483008797e-05,0,0
"98",2020-03-17,"Deschutes",197692,6,3.03502417902596e-05,0,0
"99",2020-03-17,"Douglas",110980,1,9.01063254640476e-06,0,0
"100",2020-03-17,"Jackson",220944,2,9.05206749221522e-06,0,0
"101",2020-03-17,"Klamath",68238,1,1.46545912834491e-05,0,0
"102",2020-03-17,"Lane",382067,2,5.23468396904208e-06,1,2.61734198452104e-06
"103",2020-03-17,"Linn",129749,15,0.000115607827420635,0,0
"104",2020-03-17,"Marion",347818,4,1.15002673812166e-05,0,0
"105",2020-03-17,"Multnomah",812855,3,3.69069514243008e-06,1,1.23023171414336e-06
"106",2020-03-17,"Polk",86085,1,1.16164256258349e-05,0,0
"107",2020-03-17,"Umatilla",77950,2,2.56574727389352e-05,0,0
"108",2020-03-17,"Washington",601592,21,3.49073790874879e-05,0,0
"109",2020-03-17,"Yamhill",107100,1,9.33706816059757e-06,0,0
"110",2020-03-18,"Benton",93053,2,2.14931275724587e-05,0,0
"111",2020-03-18,"Clackamas",418187,6,1.43476483008797e-05,0,0
"112",2020-03-18,"Deschutes",197692,6,3.03502417902596e-05,0,0
"113",2020-03-18,"Douglas",110980,1,9.01063254640476e-06,0,0
"114",2020-03-18,"Jackson",220944,2,9.05206749221522e-06,0,0
"115",2020-03-18,"Klamath",68238,1,1.46545912834491e-05,0,0
"116",2020-03-18,"Lane",382067,2,5.23468396904208e-06,1,2.61734198452104e-06
"117",2020-03-18,"Linn",129749,15,0.000115607827420635,0,0
"118",2020-03-18,"Marion",347818,8,2.30005347624332e-05,0,0
"119",2020-03-18,"Multnomah",812855,3,3.69069514243008e-06,1,1.23023171414336e-06
"120",2020-03-18,"Polk",86085,1,1.16164256258349e-05,0,0
"121",2020-03-18,"Umatilla",77950,2,2.56574727389352e-05,0,0
"122",2020-03-18,"Washington",601592,23,3.82318913815343e-05,1,1.66225614702323e-06
"123",2020-03-18,"Yamhill",107100,2,1.86741363211951e-05,0,0
"124",2020-03-19,"Benton",93053,2,2.14931275724587e-05,0,0
"125",2020-03-19,"Clackamas",418187,6,1.43476483008797e-05,0,0
"126",2020-03-19,"Deschutes",197692,6,3.03502417902596e-05,0,0
"127",2020-03-19,"Douglas",110980,1,9.01063254640476e-06,0,0
"128",2020-03-19,"Jackson",220944,2,9.05206749221522e-06,0,0
"129",2020-03-19,"Klamath",68238,1,1.46545912834491e-05,0,0
"130",2020-03-19,"Lane",382067,2,5.23468396904208e-06,1,2.61734198452104e-06
"131",2020-03-19,"Linn",129749,17,0.000131022204410053,0,0
"132",2020-03-19,"Marion",347818,13,3.7375868988954e-05,0,0
"133",2020-03-19,"Multnomah",812855,7,8.61162199900351e-06,1,1.23023171414336e-06
"134",2020-03-19,"Polk",86085,1,1.16164256258349e-05,0,0
"135",2020-03-19,"Umatilla",77950,2,2.56574727389352e-05,0,0
"136",2020-03-19,"Washington",601592,25,4.15564036755808e-05,1,1.66225614702323e-06
"137",2020-03-19,"Yamhill",107100,2,1.86741363211951e-05,0,0
"138",2020-03-20,"Benton",93053,2,2.14931275724587e-05,0,0
"139",2020-03-20,"Clackamas",418187,10,2.39127471681329e-05,0,0
"140",2020-03-20,"Deschutes",197692,8,4.04669890536795e-05,0,0
"141",2020-03-20,"Douglas",110980,1,9.01063254640476e-06,0,0
"142",2020-03-20,"Grant",7199,1,0.000138908181691902,0,0
"143",2020-03-20,"Jackson",220944,2,9.05206749221522e-06,0,0
"144",2020-03-20,"Klamath",68238,1,1.46545912834491e-05,0,0
"145",2020-03-20,"Lane",382067,2,5.23468396904208e-06,1,2.61734198452104e-06
"146",2020-03-20,"Linn",129749,19,0.000146436581399471,0,0
"147",2020-03-20,"Marion",347818,17,4.88761363701706e-05,0,0
"148",2020-03-20,"Multnomah",812855,12,1.47627805697203e-05,1,1.23023171414336e-06
"149",2020-03-20,"Polk",86085,1,1.16164256258349e-05,0,0
"150",2020-03-20,"Umatilla",77950,2,2.56574727389352e-05,0,0
"151",2020-03-20,"Union",26835,1,3.72647661635923e-05,0,0
"152",2020-03-20,"Washington",601592,31,5.15299405577202e-05,1,1.66225614702323e-06
"153",2020-03-20,"Yamhill",107100,4,3.73482726423903e-05,0,0
"154",2020-03-21,"Benton",93053,2,2.14931275724587e-05,0,0
"155",2020-03-21,"Clackamas",418187,11,2.63040218849462e-05,0,0
"156",2020-03-21,"Deschutes",197692,9,4.55253626853894e-05,0,0
"157",2020-03-21,"Douglas",110980,1,9.01063254640476e-06,0,0
"158",2020-03-21,"Grant",7199,1,0.000138908181691902,0,0
"159",2020-03-21,"Jackson",220944,2,9.05206749221522e-06,0,0
"160",2020-03-21,"Josephine",87487,1,1.14302696400608e-05,0,0
"161",2020-03-21,"Klamath",68238,1,1.46545912834491e-05,0,0
"162",2020-03-21,"Lane",382067,3,7.85202595356312e-06,1,2.61734198452104e-06
"163",2020-03-21,"Linn",129749,19,0.000146436581399471,0,0
"164",2020-03-21,"Marion",347818,19,5.46262700607789e-05,1,2.87506684530415e-06
