"","lon","lat","group","county"
"1",-117.204246520996,44.306827545166,1,"baker"
"2",-117.490730285645,44.306827545166,1,"baker"
"3",-117.490730285645,44.3870391845703,1,"baker"
"4",-117.536560058594,44.4214210510254,1,"baker"
"5",-117.570945739746,44.4214210510254,1,"baker"
"6",-117.599586486816,44.438606262207,1,"baker"
"7",-117.977737426758,44.438606262207,1,"baker"
"8",-117.983474731445,44.4271469116211,1,"baker"
"9",-118.012115478516,44.4328765869141,1,"baker"
"10",-118.161087036133,44.2781791687012,1,"baker"
"11",-118.201194763184,44.2609901428223,1,"baker"
"12",-118.229835510254,44.2609901428223,1,"baker"
"13",-118.378807067871,44.2609901428223,1,"baker"
"14",-118.481941223145,44.2552604675293,1,"baker"
"15",-118.49340057373,44.2781791687012,1,"baker"
"16",-118.436111450195,44.3698501586914,1,"baker"
"17",-118.40746307373,44.3755836486816,1,"baker"
"18",-118.441833496094,44.4099578857422,1,"baker"
"19",-118.418922424316,44.438606262207,1,"baker"
"20",-118.424644470215,44.4615249633789,1,"baker"
"21",-118.378807067871,44.4615249633789,1,"baker"
"22",-118.373077392578,44.4844436645508,1,"baker"
"23",-118.373077392578,44.5302772521973,1,"baker"
"24",-118.344436645508,44.5646591186523,1,"baker"
"25",-118.321510314941,44.570384979248,1,"baker"
"26",-118.310050964355,44.5990333557129,1,"baker"
"27",-118.36735534668,44.6563301086426,1,"baker"
"28",-118.40746307373,44.6448707580566,1,"baker"
"29",-118.499137878418,44.6620597839355,1,"baker"
"30",-118.510581970215,44.7193565368652,1,"baker"
"31",-118.459030151367,44.7136268615723,1,"baker"
"32",-118.361618041992,44.7537307739258,1,"baker"
"33",-118.327247619629,44.7422752380371,1,"baker"
"34",-118.281402587891,44.7480049133301,1,"baker"
"35",-118.292869567871,44.8053016662598,1,"baker"
"36",-118.315788269043,44.8396759033203,1,"baker"
"37",-118.281402587891,44.8568649291992,1,"baker"
"38",-118.235572814941,44.8740577697754,1,"baker"
"39",-118.235572814941,44.89697265625,1,"baker"
"40",-118.224113464355,44.9370803833008,1,"baker"
"41",-118.247032165527,44.9542694091797,1,"baker"
"42",-118.24129486084,44.9886474609375,1,"baker"
"43",-118.206932067871,45.0115661621094,1,"baker"
"44",-118.143898010254,45.0516700744629,1,"baker"
"45",-118.098052978516,45.0516700744629,1,"baker"
"46",-118.017845153809,45.0058326721191,1,"baker"
"47",-117.95482635498,45.0115661621094,1,"baker"
"48",-117.903259277344,45.040210723877,1,"baker"
"49",-117.874610900879,45.0860481262207,1,"baker"
"50",-117.771476745605,45.0058326721191,1,"baker"
"51",-117.559478759766,45.0001029968262,1,"baker"
"52",-117.553756713867,45.0860481262207,1,"baker"
"53",-117.255813598633,45.0917778015137,1,"baker"
"54",-116.774528503418,45.0860481262207,1,"baker"
"55",-116.791709899902,45.0688591003418,1,"baker"
"56",-116.843284606934,45.023021697998,1,"baker"
"57",-116.849021911621,44.9943771362305,1,"baker"
"58",-116.820358276367,44.9886474609375,1,"baker"
"59",-116.831817626953,44.9485397338867,1,"baker"
"60",-116.85474395752,44.8855133056641,1,"baker"
"61",-116.88338470459,44.8396759033203,1,"baker"
"62",-116.917770385742,44.8167572021484,1,"baker"
"63",-116.94068145752,44.7823829650879,1,"baker"
"64",-116.992248535156,44.770923614502,1,"baker"
"65",-117.038093566895,44.7480049133301,1,"baker"
"66",-117.078201293945,44.6792488098145,1,"baker"
"67",-117.141227722168,44.5531959533691,1,"baker"
"68",-117.204246520996,44.4959030151367,1,"baker"
"69",-117.209983825684,44.438606262207,1,"baker"
"70",-117.232887268066,44.3927688598633,1,"baker"
"71",-117.22144317627,44.3583946228027,1,"baker"
"72",-117.204246520996,44.3354759216309,1,"baker"
"73",-117.204246520996,44.306827545166,1,"baker"
"75",-123.58699798584,44.7136268615723,2,"benton"
"76",-123.157272338867,44.7078971862793,2,"benton"
"77",-123.128623962402,44.6849784851074,2,"benton"
"78",-123.088516235352,44.6677894592285,2,"benton"
"79",-123.077056884766,44.6563301086426,2,"benton"
"80",-123.094253540039,44.6334114074707,2,"benton"
"81",-123.174468994141,44.6104927062988,2,"benton"
"82",-123.19165802002,44.6047668457031,2,"benton"
"83",-123.180191040039,44.5818481445312,2,"benton"
"84",-123.248947143555,44.5646591186523,2,"benton"
"85",-123.237487792969,44.5531959533691,2,"benton"
"86",-123.22029876709,44.5417404174805,2,"benton"
"87",-123.203117370605,44.438606262207,2,"benton"
"88",-123.226036071777,44.4156875610352,2,"benton"
"89",-123.214576721191,44.3985023498535,2,"benton"
"90",-123.237487792969,44.3755836486816,2,"benton"
"91",-123.214576721191,44.3583946228027,2,"benton"
"92",-123.237487792969,44.318286895752,2,"benton"
"93",-123.214576721191,44.306827545166,2,"benton"
"94",-123.203117370605,44.2896385192871,2,"benton"
"95",-123.420837402344,44.2896385192871,2,"benton"
"96",-123.426574707031,44.2724494934082,2,"benton"
"97",-123.741691589355,44.2781791687012,2,"benton"
"98",-123.741691589355,44.306827545166,2,"benton"
"99",-123.770347595215,44.312557220459,2,"benton"
"100",-123.764610290527,44.3297462463379,2,"benton"
"101",-123.707321166992,44.3297462463379,2,"benton"
"102",-123.690124511719,44.3412017822266,2,"benton"
"103",-123.690124511719,44.3698501586914,2,"benton"
"104",-123.707321166992,44.3698501586914,2,"benton"
"105",-123.707321166992,44.4156875610352,2,"benton"
"106",-123.58699798584,44.4214210510254,2,"benton"
"107",-123.58699798584,44.7136268615723,2,"benton"
"109",-122.847877502441,45.2579383850098,3,"clackamas"
"110",-122.853614807129,45.3037757873535,3,"clackamas"
"111",-122.836418151855,45.3037757873535,3,"clackamas"
"112",-122.842155456543,45.3381500244141,3,"clackamas"
"113",-122.796310424805,45.343879699707,3,"clackamas"
"114",-122.790588378906,45.3266944885254,3,"clackamas"
"115",-122.733291625977,45.3266944885254,3,"clackamas"
"116",-122.733291625977,45.4183654785156,3,"clackamas"
"117",-122.658805847168,45.4183654785156,3,"clackamas"
"118",-122.65308380127,45.4470138549805,3,"clackamas"
"119",-122.630157470703,45.4527397155762,3,"clackamas"
"120",-122.022819519043,45.4527397155762,3,"clackamas"
"121",-121.810821533203,45.4527397155762,3,"clackamas"
"122",-121.799362182617,45.4412841796875,3,"clackamas"
"123",-121.764991760254,45.4183654785156,3,"clackamas"
"124",-121.764991760254,45.3954467773438,3,"clackamas"
"125",-121.724884033203,45.3897171020508,3,"clackamas"
"126",-121.696243286133,45.3725280761719,3,"clackamas"
"127",-121.701965332031,45.3266944885254,3,"clackamas"
"128",-121.684776306152,45.3037757873535,3,"clackamas"
"129",-121.650398254395,45.2923126220703,3,"clackamas"
"130",-121.656135559082,45.2751235961914,3,"clackamas"
"131",-121.673316955566,45.2464752197266,3,"clackamas"
"132",-121.656135559082,45.2350196838379,3,"clackamas"
"133",-121.742073059082,45.1834526062012,3,"clackamas"
"134",-121.730606079102,45.1605339050293,3,"clackamas"
"135",-121.701965332031,45.1548042297363,3,"clackamas"
"136",-121.696243286133,45.1261558532715,3,"clackamas"
"137",-121.656135559082,45.1146965026855,3,"clackamas"
"138",-121.650398254395,45.0860481262207,3,"clackamas"
"139",-121.66185760498,45.0631294250488,3,"clackamas"
"140",-121.701965332031,45.0574035644531,3,"clackamas"
"141",-121.724884033203,45.0344848632812,3,"clackamas"
"142",-121.77645111084,45.0344848632812,3,"clackamas"
"143",-121.793640136719,45.0115661621094,3,"clackamas"
"144",-121.77645111084,44.9886474609375,3,"clackamas"
"145",-121.77645111084,44.9428100585938,3,"clackamas"
"146",-121.696243286133,44.891242980957,3,"clackamas"
"147",-121.742073059082,44.8683242797852,3,"clackamas"
"148",-122.383781433105,44.8740577697754,3,"clackamas"
"149",-122.41242980957,44.89697265625,3,"clackamas"
"150",-122.504104614258,44.9198913574219,3,"clackamas"
"151",-122.607238769531,45.0058326721191,3,"clackamas"
"152",-122.77912902832,45.1146965026855,3,"clackamas"
"153",-122.77912902832,45.1318855285645,3,"clackamas"
"154",-122.750480651855,45.217830657959,3,"clackamas"
"155",-122.744743347168,45.2407493591309,3,"clackamas"
"156",-122.77912902832,45.2407493591309,3,"clackamas"
"157",-122.77912902832,45.2579383850098,3,"clackamas"
"158",-122.847877502441,45.2579383850098,3,"clackamas"
"160",-123.369270324707,46.1402893066406,4,"clatsop"
"161",-123.369270324707,46.0944519042969,4,"clatsop"
"162",-123.369270324707,46.0428886413574,4,"clatsop"
"163",-123.357818603516,46.0371589660645,4,"clatsop"
"164",-123.357818603516,45.8480834960938,4,"clatsop"
"165",-123.34635925293,45.7678680419922,4,"clatsop"
"166",-123.466682434082,45.7678680419922,4,"clatsop"
"167",-123.466682434082,45.7621383666992,4,"clatsop"
"168",-123.695861816406,45.7621383666992,4,"clatsop"
"169",-123.707321166992,45.7678680419922,4,"clatsop"
